見出し語（品詞）,訳
cavalier（形容詞）,横柄な、尊大な、軽率な、むとんちゃくな（限定用法が多い）
cavalier（名詞）,騎士道精神の持ち主、騎士
crochet（他動詞）,…をかぎ針で編む
crochet（自動詞）,かぎ針で編む
crochet（名詞）,かぎ針編み
frock（名詞）,（女性用）ドレス、ワンピース、修道服
visage（名詞）,顔つき、顔だち、様相
daub（他動詞）,…を（ペンキなどで）塗り付ける、…をなすり付ける、…を汚す
daub（名詞）,（壁塗りの）塗料、しっくい、雑に塗ること、下手な絵
sacrilegious（形容詞）,神聖を汚す、不信心の
denunciation（名詞）,公然の非難、弾劾
daunt（他動詞）,…をたじろがせる、…を威圧する、（人）の気力をくじく
rostrum（名詞）,演壇、説教壇、（オーケストラの）指揮台、くちばし
douse（他動詞）,…に水を浴びせる、…をずぶぬれにする、（灯火）を消す
douse（名詞）,びしょぬれ、水に浸すこと
husk（名詞）,（トウモロコシなどの）皮、殻、無価値な外皮
husk（他動詞）,…の殻を取る、…の皮をむく
excavate（他動詞）,…を発掘する、…を掘る、…を掘って作る
excavate（自動詞）,発掘する、掘る
casket（名詞）,棺、宝庫、（宝石を入れる）小箱
extricate（他動詞）,…を救い出す、…を解放する
dune（名詞）,砂丘（sand dune）
flail（他動詞）,（手足など）を激しく振り動かす、…を連打する、（麦など）を殻ざおで打つ
flail（自動詞）,（手足が）激しく振り動く、連打する、殻ざおで打つ
flail（名詞）,殻ざお
delirium（名詞）,狂乱状態、錯乱、幻覚症状
flinch（自動詞）,ひるむ、尻込みする、たじろぐ
thud（名詞）,ドスンという音、ゴツンという一撃
thud（自動詞）,ドスンと落ちる［当たる］
flit（自動詞）,（鳥・チョウなどが）素早く飛ぶ、せわしなく動き回る、（時が）素早く過ぎ去る
flit（名詞）,飛び去ること、軽快な動き
sprig（名詞）,小枝、若枝
nocturnal（形容詞）,（動物が）夜行性の、（植物が）夜咲きの、夜の
lynx（名詞）,オオヤマネコ、（the Lynxで）やまねこ座（星座の1つ）
lair（名詞）,（動物の）巣、ねぐら、すみか、（秘密の）隠れ家
forage（自動詞）,（動物が）食糧をあさる、探し回る、探す
forage（名詞）,飼料、まぐさ、かいば
garnish（他動詞）,（料理）に付け合わせを添える、…を飾る
garnish（名詞）,（料理の）付け合わせ、つま
pheasant（名詞）,キジ、キジの肉
grate（他動詞）,…を（おろし金で）おろす、…をきしらせる
grate（自動詞）,きしむ、キーキー音を立てる
grate（名詞）,鉄格子、（暖炉の）火床、暖炉
rind（名詞）,（果物などの厚い）皮、外皮、（物事の）外面
rind（他動詞）,…の皮をむく
sieve（名詞）,ふるい、こし器
sieve（他動詞）,…をふるいにかける
intoxication（名詞）,酩酊、酔った状態、陶酔、夢中、中毒
hallucinate（自動詞）,幻覚症状を起こす、幻覚を感じる
hiccup（名詞）,しゃっくり（しばしばhiccupsで）、ちょっとした問題、中断、故障
glutton（名詞）,大食家、暴食家、（苦難などに）よく耐える人、凝り屋
hoist（他動詞）,…を高く掲げる、…を持ち上げる、…を吊り上げる
hoist（名詞）,引き上げ、吊り上げ、起重機
charlatan（名詞）,ペテン師、偽医者、香具師
impersonate（他動詞）,…のまねをする、…のふりをする、…を演じる
nave（名詞）,（教会の）身廊（会衆席のある部分）
inscribe（他動詞）,（言葉など）を刻む、…を記す、…を（心などに）銘記する、（石碑など）に記す
gilt（形容詞）,金めっきした、金箔をかぶせた（限定用法）
gilt（名詞）,金箔、金粉、金色塗料
infatuation（名詞）,夢中になっている状態、心酔、夢中にさせるもの
jostle（自動詞）,押し合う、押しのける、競う、争う
jostle（他動詞）,…を押す、…を突く、…を押して動かす
resplendent（形容詞）,まばゆい、きらきら輝く、華麗な
flippant（形容詞）,軽薄な、不真面目な、軽率な、ぶしつけな
loiter（自動詞）,（あてもなく）ぶらつく、たむろする、道草を食う、ぐずぐずやる
canteen（名詞）,社員食堂、学生食堂、水筒
morose（形容詞）,不機嫌な、むっつりした、気難しい
lubricate（他動詞）,（機械など）に油を差す、…をすべすべにする、…を円滑にする
lathe（名詞）,旋盤、ろくろ
lunge（自動詞）,突進する、突き刺す
lunge（名詞）,突進、突き
bison（名詞）,バイソン、野牛
javelin（名詞）,（やり投げ用の）やり、（the javelinで）やり投げ（競技会）
escapade（名詞）,無鉄砲な行動、突飛な行為、冒険
molest（他動詞）,（女性・子ども）に性的いたずらをする、…に痴漢を働く、…に危害を加える
cessation（名詞）,中止、休止
pelt（他動詞）,…に投げつける、…を強く打つ、…に（質問や非難を）浴びせる
haggard（形容詞）,やつれた、目が落ちくぼんだ
plod（自動詞）,とぼとぼ歩く、重い足取りで歩く、こつこつ進める、ゆっくり進む
glacial（形容詞）,氷の、氷河の、氷河期の、冷たい、極寒の、冷淡な
vulture（名詞）,ハゲワシ、コンドル、貪欲な人
pounce（自動詞）,突然飛び掛かる、激しく非難する、（機会などを）素早くとらえる
talon（名詞）,（通常talonsで）（猛鳥の大きな）かぎつめ
wicker（形容詞）,小枝で作った、枝編み細工の（限定用法）
wicker（名詞）,枝編み細工（品）
pout（自動詞）,（すねて）膨れっ面をする、口を尖らせる、唇を突き出す
pout（他動詞）,（唇）を突き出す
pout（名詞）,膨れっ面
mackerel（名詞）,サバ、サバの肉
nook（名詞）,（部屋の）隅、人目につかない所、人里離れた所
purr（自動詞）,（猫が）（喜んで）のどを鳴らす、（人が）満足げな様子を示す、（自動車などが）快調な音を立てる
purr（他動詞）,…と甘い声で言う
condolence（名詞）,悔やみ、哀悼、慰めの言葉、弔辞
bereaved（形容詞）,近親者を亡くした、死別された、（the bereavedで）遺族
quaver（自動詞）,（音・声が）震える、わなわな震える、震え声で歌う［言う］
lattice（名詞）,格子、格子細工［造り］、格子窓（lattice window）
ransack（他動詞）,（場所）を荒らす、…をあさり回る、…をくまなく捜す
otter（名詞）,カワウソ、カワウソの毛皮
recoil（自動詞）,後ずさりする、尻込みする、ひるむ、はね返る
hedgehog（名詞）,ハリネズミ、ヤマアラシ、怒りっぽく意地悪な人
tempestuous（形容詞）,激しい、大嵐の（ような）、騒々しい、動乱の（限定用法が多い）
ruffle（他動詞）,…をくしゃくしゃにする、（鳥が）（羽）を逆立てる、（水面）を波立たせる、…を動揺させる
ruffle（名詞）,さざ波、（服の）ひだ飾り、（鳥の）首毛、動揺
surly（形容詞）,いら立った、不機嫌な、ぶっきらぼうな、（天気が）荒れ模様の
scowl（自動詞）,顔をしかめる、にらむ
scowl（名詞）,（通常a scowlで）しかめっ面
antic（名詞）,（通常anticsで）ふざけたしぐさ、滑稽な態度、いたずら
scrabble（自動詞）,かき回して探す、かき回す、引っかく
cot（名詞）,①簡易ベッド、折り畳み式ベッド、小寝台　②小屋
padlock（名詞）,南京錠
slacken（他動詞）,（力・速度など）を緩める、…を減じる、…を弱める、（仕事）をぞんざいにする
slacken（自動詞）,緩む、速度を落とす、（商売が）不活発になる、怠ける
gradient（名詞）,勾配、傾斜、坂道、斜面
slither（自動詞）,ずるずる滑る、滑るように進む、滑り降りる
clump（名詞）,茂み、やぶ、木立、（汚れなどの）固まり、（a [the] clumpで）重い足音
clump（他動詞）,…を群生させる、…を凝集させる
clump（自動詞）,群生する、凝集する、重い足取りで歩く
snip（他動詞）,…を（はさみで）ちょきんと切る、…をちょきんと切り取る［落とす］
snip（名詞）,（はさみで）ちょきんと切ること［音］、切り目、切り口
whisker（名詞）,ほおひげ（通常whiskersで）、（猫などの）ひげ、少しの余地
snooze（自動詞）,うたた寝する、居眠りする
snooze（名詞）,（通常a snoozeで）うたた寝、居眠り
anteroom（名詞）,控えの間、待合室
tongs（名詞）,火ばし、やっとこ、物を挟む道具
squat（自動詞）,しゃがむ、うずくまる、（建物・土地に）不法に居座る
squat（形容詞）,ずんぐりした、しゃがんだ
squirt（他動詞）,…を吹きかける、…に吹きかける、…を噴出させる
squirt（自動詞）,噴出する、ほとばしる
squirt（名詞）,噴出すること、噴出量、噴水
aviary（名詞）,鳥小屋、鳥類飼育場
antiseptic（名詞）,消毒剤、防腐剤
antiseptic（形容詞）,殺菌の、清潔な、無菌の
stow（他動詞）,…を積み込む、…をしまい込む
ballast（名詞）,（船の）底荷、安定させるもの、（気球の）砂袋
suffocate（自動詞）,窒息する、息が詰まる
suffocate（他動詞）,…を窒息させる、…を息苦しくさせる、…を抑圧する
convulsion（名詞）,（通常convulsionsで）けいれん、ひきつけ、（笑いなどの）発作、動乱、動揺
epilepsy（名詞）,てんかん
angler（名詞）,釣り人、釣り師
thrash（他動詞）,…をたたくように動かす、…を強く打つ、（手足）をばたばたさせる、…を打ち負かす
thrash（自動詞）,のたうち回る、もがく
scuffle（名詞）,取っ組み合い、乱闘、格闘
scuffle（自動詞）,取っ組み合う、乱闘する
totter（自動詞）,よろめく、よろよろ歩く、（建物などが）揺れる、ぐらつく
unfurl（他動詞）,（旗・帆など）を広げる、…を張る、…を開く
deterrence（名詞）,制止、抑止、戦争抑止
detriment（名詞）,損失の原因（通常a detrimentで）、損害、損失、不利
variegated（形容詞）,多彩色の、雑色の、変化に富んだ、多様な
warble（自動詞）,（小鳥が）さえずる、（人が）声を震わせて歌う
warble（他動詞）,…をさえずる、…を声を震わせて歌う
warble（名詞）,（a [the] warbleで）さえずり、声を震わせて歌うこと
roost（名詞）,止まり木、（鳥の）ねぐら、休息所、宿
roost（自動詞）,止まり木に止まる
infirm（形容詞）,（体が）弱い、虚弱な、意志薄弱な、老衰した
wheeze（自動詞）,苦しそうに息をする、あえぐような音を出す
whimper（自動詞）,（子どもが）すすり泣く、泣き言を言う、（犬が）クンクン鳴く
mortuary（形容詞）,埋葬の、死の
mortuary（名詞）,葬儀場、霊安室
wrest（他動詞）,…をもぎ取る、…を取り上げる、…を苦心して手に入れる
hatchet（名詞）,手おの
daft（形容詞）,精神異常の、熱狂した、ばかな
wriggle（自動詞）,くねくね進む、体をくねらせる
wriggle（他動詞）,（体など）をくねらせる
moat（名詞）,（城・都市などの）堀、濠
moat（他動詞）,…を堀で取り囲む
shin（名詞）,すね、向こうずね
shin（自動詞）,よじ登る
pike（名詞）,①やり、矛、（やりなどの）尖った先　②有料道路（turnpike）
pike（他動詞）,…をやりで突く
writhe（自動詞）,身をよじる、身もだえする、苦悩する
alderman（名詞）,（米）市会議員、（英）市［町］参事会員
adjourn（他動詞）,（会議など）を延期する、…を休廷する、…を休会する、…を中断する
functionary（名詞）,職員、役人
peddler（名詞）,行商人、呼び売り商人、（麻薬の）売人、（思想などを）広める人
appraise（他動詞）,…を鑑定する、…を評価する、…を見積もる
stallion（名詞）,種馬、（種馬用）雄馬
assail（他動詞）,…を激しく攻撃する、…を執拗に攻める、…を悩ませる、…を非難する
citadel（名詞）,要塞、とりで、城、拠点
promontory（名詞）,岬、高台
assay（他動詞）,…を分析する、…を調査する、…を評価する
fluoride（名詞）,フッ化物
parson（名詞）,牧師、聖職者
bandit（名詞）,山賊、追いはぎ、無法者
atone（自動詞）,償う、あがなう
bequeath（他動詞）,…を遺贈する、…に遺産として残す、…を伝える
sundry（形容詞）,さまざまな、種々の、雑多な（限定用法）
curio（名詞）,骨董品、（珍しい）美術品
synod（名詞）,長老会、教会会議
circumscribe（他動詞）,…を制限する、…の周辺に線を引く、…を線で囲む、（円）を外接させる
laity（名詞）,（the laityで）俗人、平信徒、素人
crypt（名詞）,（教会堂の）地下聖堂、地下室
coddle（他動詞）,…を甘やかして育てる、…をやさしく扱う、…をとろ火で煮る
bashful（形容詞）,恥ずかしがり屋の、内気な
coerce（他動詞）,…を強制する、…を強要する、（人）を抑圧する
atheist（名詞）,無神論者、不信心者
sabbath（名詞）,（通常the Sabbathで）安息日
conciliate（自動詞）,調停する、なだめる
conciliate（他動詞）,…を調停する、（人）をなだめる、…を和らげる
litigant（名詞）,訴訟当事者
reparation（名詞）,賠償金（reparationsで）、補償、賠償、償い
onlooker（名詞）,見物人、傍観者
congregate（自動詞）,集まる、集合する
congregate（他動詞）,…を集める
fuselage（名詞）,（飛行機などの）機体、胴体
consecrate（他動詞）,（聖職に）…を任命する、…を神聖にする、…を聖別する、…を捧げる
jubilee（名詞）,記念祭、祝典、祝祭、歓喜
coercion（名詞）,強制（力）、抑圧、威圧、圧政
contravene（他動詞）,（法律など）に反する、…に違反する、…に反対する、…と矛盾する
assessor（名詞）,（税金・財産・保険などの）査定人、評価者、裁判所補佐人
dally（自動詞）,ぶらぶら時を過ごす、ぐずぐずする、からかい半分に手を出す
ledger（名詞）,台帳、元帳、（墓の）平石
drudgery（名詞）,骨の折れる退屈な仕事、苦役
contagion（名詞）,（接触）伝染病、感染、感化、悪影響
demoralize（他動詞）,（人・兵士）の士気をくじく、…を困惑させる、…を混乱させる
dislodge（他動詞）,…を除去する、…を取り除く、…を追い払う
scum（名詞）,浮きかす、あく、（人間の）くず
sediment（名詞）,堆積物、沈殿物、おり、かす
sluice（名詞）,水路、水門（sluice gate）、せき水、（比喩的に）はけ口
dissect（他動詞）,…を解剖する、…を細かく調べる
sinew（名詞）,腱、（通常sinewsで）筋肉、体力、力
exhortation（名詞）,説教、熱心な勧告、奨励（の言葉）
edify（他動詞）,…を啓発する、…を教化する、…の道徳心を養う
dejected（形容詞）,しょげている、意気消沈した、落胆した
elucidate（他動詞）,…を解明する、…を明瞭にする、…を説明する
rabies（名詞）,狂犬病、恐水病
embezzle（他動詞）,…を横領する、（金など）を使い込む
kickback（名詞）,リベート、手数料、ぴんはね、（銃の）反動
enshrine（他動詞）,…を（神聖なものとして）祭る、…を安置する、…を正式に記す
goblin（名詞）,悪鬼、小鬼、小妖精、幽霊
talisman（名詞）,お守り、護符、魔よけ
evict（他動詞）,…を（法的手段によって）立ち退かせる、…を追い払う、…を取り戻す
turnpike（名詞）,有料（高速）道路、ターンパイク（turnpike road）
apparition（名詞）,幽霊、亡霊、幻影、（突然の）出現
malevolent（形容詞）,邪悪な、悪意のある
exorcize（他動詞）,（悪魔）を追い払う、…を祓い清める、（悩みなど）を取り除く
expedite（他動詞）,…を迅速に処理する、…を手早く片付ける、…を促進する
embankment（名詞）,堤防（を築くこと）、土手、盛り土
extradite（他動詞）,（国外逃亡犯人）を引き渡す、…の引き渡しを受ける
itinerant（形容詞）,渡り労働の、巡り歩く、移動式の、放浪の（限定用法が多い）
itinerant（名詞）,巡歴者、巡回布教師、旅芸人、行商人、放浪者
squatter（名詞）,無断居住者、不法定住者、不法占有者、うずくまる人
devolution（名詞）,（権利などの）移行、移転、継承、（生物の）退化
foreclose（自動詞）,担保権を行使する
foreclose（他動詞）,（人）を締め出す、…から（権利などを）奪う
complainant（名詞）,原告（側）、告訴人
gird（他動詞）,…を備えさせる、…を取り囲む、…に巻き付ける
gird（自動詞）,用意をする、準備をする
rebuttal（名詞）,反論、反証
immunize（他動詞）,（人）に（ワクチン注射をして）免疫性を与える
mumps（名詞）,おたふく風邪
eviction（名詞）,立ち退き、追い立て、取り戻し
infringe（自動詞）,（自由などを）侵害する
infringe（他動詞）,（権利など）を侵す、（法律・契約など）に違反する、…を破る
sedentary（形容詞）,（人が）いつも座っている、運動をしない、（仕事などが）座ってできる、定住性の
listless（形容詞）,疲れて元気のない、気の抜けた、もの憂げな
fudge（名詞）,ファッジ（軟らかく甘いキャンディー・チョコレート）
invigorate（他動詞）,（人）に活力を与える、…を元気づける、（組織など）を活気づける
liquidate（他動詞）,（会社など）を整理する、…を解散する、（負債）を清算する
decrepit（形容詞）,老朽化した、使い古した、老いぼれた
foundry（名詞）,鋳物工場、鋳物造り、鋳造業
modulate（他動詞）,（声）の調子を変える［和らげる］、…を調節する、（電波）を変調する
autism（名詞）,自閉症
polemic（名詞）,論争、論戦、反論、論客
negate（他動詞）,…を無効にする、…を取り消す、…を否定する
ratification（名詞）,批准、承認
nullify（他動詞）,…を無効にする、…を無駄にする、…を破棄する
bilateral（形容詞）,双方の、二者間の、両側の、互恵的な（限定用法が多い）
saturation（名詞）,集中攻撃、飽和（状態）、浸透、彩度
outwit（他動詞）,…の裏をかく、…を出し抜く
sentry（名詞）,見張り、番兵、歩哨
subterranean（形容詞）,地下の、地下にある、見えないところにある、表面下の（限定用法が多い）
mercenary（形容詞）,欲得ずくの、報酬目当ての、貪欲な
mercenary（名詞）,傭兵
overrate（他動詞）,…を過大評価する、…を買いかぶる
thoroughbred（名詞）,サラブレッド、純血種の馬
thoroughbred（形容詞）,サラブレッド種の、純血種の、第一級の
armpit（名詞）,わきの下、むさ苦しい［汚い］場所
scruffy（形容詞）,だらしがない、むさ苦しい、みすぼらしい
panhandle（自動詞）,物乞いをする
panhandle（名詞）,細長く伸びている地域
shifty（形容詞）,ずる賢い、うさんくさい、ごまかしの多い
pilfer（他動詞）,…をくすねる、…をちょろまかす
pilfer（自動詞）,くすねる、こそ泥をする
satchel（名詞）,学生かばん、小かばん
pillage（他動詞）,…を略奪する、…を分捕る
pillage（自動詞）,略奪する、分捕る
pillage（名詞）,略奪
vicinity（名詞）,（通常the vicinityで）周辺、付近、近辺、近所
procrastinate（自動詞）,ぐずぐずと引き延ばす、手間取る
irksome（形容詞）,やっかいな、面倒な、いらいらするような、退屈な
proscribe（他動詞）,…を法律で禁止する、（人）を排斥する、（人）を法律の保護外に置く
sojourn（名詞）,滞在、逗留、居住
sojourn（自動詞）,滞在する、逗留する
raze（他動詞）,…を取り壊す、…を徹底的に破壊する
dilapidated（形容詞）,ぼろぼろになった、荒廃した、老朽化した
upmarket（形容詞）,高所得者層向けの、高級品市場向けの
recompense（他動詞）,（人）に報いる、…に返礼する、…に償いをする
recompense（名詞）,報酬、お礼、償い、弁償
bountiful（形容詞）,気前のよい、豊富な、十分な
gratuity（名詞）,チップ、心付け
redress（他動詞）,…を正す、…を矯正する、…を再調整する、（損害など）を償う
redress（名詞）,矯正、償い
welter（名詞）,（通常a welterで）混乱、騒動、ごた混ぜ、うねり
welter（自動詞）,うねる、転がり回る
repatriate（他動詞）,（難民・亡命者など）を（本国に）送還する、（利益など）を（本国へ）送り返す
quarantine（名詞）,隔離（状態）、隔離期間
quarantine（他動詞）,…を隔離する
repudiate（他動詞）,…を拒否する、…を拒絶する、…を否認する、（妻子）を捨てる
consignment（名詞）,委託（販売）、委託販売品、積送品
futility（名詞）,無益、無用、くだらなさ、くだらないもの
rescind（他動詞）,…を廃止する、…を破棄する、…を撤回する
rummage（自動詞）,かき回して探す
rummage（他動詞）,（場所）を探し回る、…をくまなく探す、…を探し出す
urn（名詞）,（装飾的な）つぼ、かめ、（古代ギリシャ・ローマの）骨つぼ
toad（名詞）,ヒキガエル、ガマ、嫌なやつ
secrete（他動詞）,①…を分泌する　②…をこっそり隠す
sequester（他動詞）,…を隔離する、…を引きこもらせる、（財産）を一時差し押さえる
cavern（名詞）,洞窟、洞穴、空洞
cavern（他動詞）,…を洞窟に閉じ込める
exemplar（名詞）,手本、模範、典型、代表例
slough（他動詞）,…を捨て去る、…を払拭する、（ヘビが）（皮）を脱ぎ落とす
slough（自動詞）,（皮が）抜け落ちる、はがれる
slough（名詞）,沼地、湿地、ぬかるみ
dermatologist（名詞）,皮膚科専門医
sterilize（他動詞）,…を殺菌する、…を消毒する、（動物など）を不妊にする、（土地）を不毛にする
subjugate（他動詞）,…を支配下に置く、…を意のままに操る、…を手なずける、…を従わせる
kindred（形容詞）,同族の、同類の、類似の
kindred（名詞）,親類、一族、血族関係、同質性
sewerage（名詞）,下水道、下水設備、下水処理、下水
substantiate（他動詞）,…を立証する、…を具体化する、…を実現させる
sulk（自動詞）,すねる、膨れる、むっつりする
sulk（名詞）,（通常the sulksで）すねること、不機嫌
brusque（形容詞）,ぶっきらぼうな、無愛想な、そっけない
recrimination（名詞）,非難、けんか、逆襲
superimpose（他動詞）,（写真で）…を二重焼き付けする、…を重ねる、…を付加する
cactus（名詞）,サボテン
vindictive（形容詞）,復讐心に燃えた、執念深い、報復的な
swindle（他動詞）,…をペテンにかける、…をだまし取る
swindle（名詞）,詐欺行為、ごまかし、偽物
usurp（他動詞）,（権力・地位など）を暴力で奪う、…を強奪する、…を不法使用する
forgery（名詞）,（文書）偽造、捏造、偽造物
vacate（他動詞）,（場所）を明け渡す、…を立ち退く、（地位）を退く、…を無効にする
tenancy（名詞）,借用期間、（土地や家屋の）保有（期間）
vanquish（他動詞）,…を負かす、…を打ち破る、…を征服する
mane（名詞）,（ライオン・馬などの）たてがみ、長く豊かな頭髪
wheedle（他動詞）,…をうまく口車に乗せて手に入れる、（人）を口車に乗せて欺く
docile（形容詞）,従順な、素直な
whitewash（他動詞）,…のうわべを飾る、…を隠蔽する、…にしっくいを塗る
whitewash（名詞）,しっくい、ごまかし、隠蔽
concomitant（形容詞）,付随する、伴う、同時に起こる
concomitant（名詞）,付属（物）、（通常concomitantsで）付帯状況
heretic（名詞）,異端者、異教徒、反対論者
abhor（他動詞）,…を忌み嫌う、…を憎悪している
swine（名詞）,ブタ、イノシシ、（以下複数形はswines）嫌なやつ、好色漢
bronchitis（名詞）,気管支炎
ail（他動詞）,…を苦しめる、…を悩ます、…を患わせる
ail（自動詞）,患う、病気になる
affront（名詞）,（通常an affrontで）侮辱、無礼な行為［言葉］
affront（他動詞）,（人）を（公然と）侮辱する、…の誇りを傷つける
magnate（名詞）,（業界の）有力者、大事業家、大物
antagonize（他動詞）,…をいら立たせる、…に反感を持たせる、…を敵に回す
friar（名詞）,托鉢修道士
blanch（自動詞）,（人・顔が）青ざめる、不快に思う
blanch（他動詞）,…を漂白［脱色］する、…を湯がく、（顔など）を青ざめさせる
filth（名詞）,みだらな言葉、ののしり、不道徳なもの、堕落、汚物、ごみ
claustrophobia（名詞）,閉所恐怖症
detest（他動詞）,…をひどく嫌う、…を憎む
foyer（名詞）,（劇場・ホテルなどの）休憩室、玄関（の広間）、ロビー
eavesdrop（自動詞）,盗み聞きする、立ち聞きする、（無線などで）傍受する
exchequer（名詞）,（英国）財務省（以上the Exchequerで）、（the [an] exchequerで）資金、国庫、公庫
emissary（名詞）,使節、特使、スパイ
efface（他動詞）,（記憶・印象など）をぬぐい去る、…をこすり消す、…を削除する
abominable（形容詞）,忌まわしい、不愉快な、ひどい、嫌な
slapstick（形容詞）,どたばた喜劇の
slapstick（名詞）,どたばた喜劇
hark（自動詞）,（過去に）呼び戻す、（過去を）思い起こさせる、耳を傾ける
puberty（名詞）,思春期、年頃
scruple（名詞）,（通常scruplesで）良心のとがめ、疑念、ためらい
impel（他動詞）,（人）を駆り立てる、…を押し進める、…を強いる
diabolic（形容詞）,極悪非道な、悪魔の（ような）、魔性の
oscillate（自動詞）,（人・感情が）ぐらつく、動揺する、（振り子のように）振れる
reprieve（名詞）,死刑執行猶予
reprieve（他動詞）,（人）の死刑執行を猶予する
peruse（他動詞）,…を熟読する、…を精読する、…を詳細に調べる
copious（形容詞）,多量の、（内容の）豊富な、（作家が）多作の（限定用法が多い）
prospectus（名詞）,（学校などの）案内書、事業内容説明書、目論見書
chronology（名詞）,年代記、年表、年代順配列、年代学
pique（他動詞）,…をそそる、…をあおる、…を憤慨させる、…を怒らせる
lagoon（名詞）,小さな沼、池、潟、礁湖（サンゴ礁に囲まれた浅い海）
quench（他動詞）,（渇き）をいやす、（火）を消す
hoarse（形容詞）,しわがれ声の、（声が）かすれた、ハスキーな
rasp（自動詞）,（神経などに）障る、耳障りな音を出す
rasp（他動詞）,（神経など）をいら立たせる、…を（やすりで）こする、…を耳障りな声で言う
caprice（名詞）,気まぐれ、移り気、気まぐれな性格、予知できない急変
repulse（他動詞）,（人）をうんざりさせる、…を撃退する、…をはねつける
revel（自動詞）,大いに喜ぶ［楽しむ］、どんちゃん騒ぎをする
accolade（名詞）,称賛、表彰式、ナイトの爵位授与（式）
ruminate（自動詞）,思い巡らす、沈思する、（動物が）反すうする
admonition（名詞）,忠告、助言、説諭、訓戒
seethe（自動詞）,腹を立てる、（怒りや興奮に）沸く、ごった返す、泡立つ
impudent（形容詞）,生意気な、厚かましい、軽率な、不謹慎な
rejoinder（名詞）,言い返し、返答、口答え
tantalize（他動詞）,（人）に見せびらかしてじらす、…をじらして苦しめる
finery（名詞）,美しい服、華美な服装［装飾品］
tranquilize（他動詞）,…を落ち着かせる、…を鎮静させる
delirious（形容詞）,興奮状態の、意識が混濁した、錯乱した
terrestrial（形容詞）,地球（上）の、陸地の、この世の
terrestrial（名詞）,地球に住むもの
whet（他動詞）,（欲求・興味など）を刺激する、（刃物）を（砥石で）とぐ
amphibian（名詞）,両生類の動物、水陸両用飛行機［戦車］
amphibian（形容詞）,両生類の、水陸両用の
dung（名詞）,（牛・馬などの）ふん、肥料、肥やし
ewe（名詞）,（成長した）雌羊
fauna（名詞）,動物相、ファウナ（一定地域内の動物の全種類）
gill（名詞）,（通常gillsで）（魚の）えら、（キノコのかさの裏の）ひだ
leech（名詞）,ヒル、人を食い物にする人、他人の利益を吸い取る者
maggot（名詞）,ウジ（虫）
membrane（名詞）,（動植物の）薄膜、皮膜、細胞膜
muzzle（名詞）,（動物の）鼻口部、鼻面、口輪、銃口
muzzle（他動詞）,（犬など）に口輪をはめる
plumage（名詞）,（鳥の）羽、羽毛
quail（名詞）,ウズラ、ウズラの肉
rump（名詞）,（動物の）尻、（鳥の）尾部、（人間の）尻、（組織などの）残党
sprite（名詞）,小人、妖精、小鬼
stag（名詞）,（成熟した）雄ジカ
tadpole（名詞）,オタマジャクシ
tentacle（名詞）,触手、触角
venom（名詞）,（ヘビ・サソリ・ハチなどの）毒液、悪意、憎悪
affectation（名詞）,気取った言動、ふりをすること、見せ掛け
cadence（名詞）,拍子、リズム、声の抑揚
anorexia（名詞）,食欲不振、拒食症
antigen（名詞）,抗原
balm（名詞）,芳香性樹脂、香油、芳香のある軟こう
biceps（名詞）,二頭筋、筋肉のたくましさ、筋力
buttock（名詞）,（通常buttocksで）尻、臀部
carcinogen（名詞）,発がん（性）物質
cataract（名詞）,白内障、大きな滝、豪雨、洪水
chemotherapy（名詞）,化学療法
cleavage（名詞）,（女性の）胸の谷間、裂け目、（見解などの）分裂
colitis（名詞）,大腸炎、結腸炎
constipation（名詞）,便秘
convalescence（名詞）,（病後の）回復（期）
dispensary（名詞）,（病院などの）調剤室、薬局、医務室、（無料・低料金の）診療所
esophagus（名詞）,（米）食道
glucose（名詞）,グルコース、ブドウ糖
groin（名詞）,鼠蹊部（またの付け根の部分）、防波堤
infirmity（名詞）,虚弱、病弱、無気力
insomnia（名詞）,不眠症
ligament（名詞）,靭帯、（物を結び付ける）ひも、帯、きずな
lobe（名詞）,耳たぶ（earlobe）、（建物などの）丸い突出部、丸い屋根
malady（名詞）,（慢性的な）病気、（通常maladiesで）（社会などの）病弊、弊害
node（名詞）,こぶ、腫れ、リンパ節、中心点、集合点
nostril（名詞）,鼻孔、小鼻
obstetrician（名詞）,産科医
ointment（名詞）,軟こう、化粧用クリーム
ovary（名詞）,卵巣、子房
pelvis（名詞）,骨盤
physiology（名詞）,生理学、生理（機能）
prognosis（名詞）,予後（治療後の経過予測）、予知、予測
remission（名詞）,（病気などの）小康状態、（寒暖などの）緩み、（負債などの）免除
saliva（名詞）,唾液、つば
serum（名詞）,血清
tetanus（名詞）,破傷風
wart（名詞）,いぼ、（木の）こぶ、欠点
xenophobia（名詞）,外国人嫌い、外国人恐怖症
arousal（名詞）,（性的）興奮、目覚め
articulation（名詞）,明瞭な発音、（考え・感情などの言葉による）表現
avarice（名詞）,（金銭などに対する）貪欲、強欲
benevolence（名詞）,善意、慈善の心、善行
consternation（名詞）,驚愕、仰天、狼狽
discomfiture（名詞）,当惑、うろたえ、完敗、失敗、挫折
elation（名詞）,意気揚々、大喜び、上機嫌、大得意
exasperation（名詞）,憤慨、激怒、悪化
fortitude（名詞）,不屈の精神、堅忍
gusto（名詞）,心からの楽しみ［喜び］、熱意
innuendo（名詞）,（軽蔑的な）ほのめかし、暗示、風刺、当てこすり
