symposium（名詞）,シンポジウム、討論会
partition（名詞）,パーティション、仕切り、分割
partition（他動詞）,…を分割する、（部屋など）を仕切る
rebuke（他動詞）,…をしかる、…を強く非難する
rebuke（名詞）,叱責、非難
chauffeur（名詞）,お抱え運転手
chauffeur（自動詞）,お抱え運転手として働く
chauffeur（他動詞）,…を車で案内して回る
indecent（形容詞）,下品な、不作法な、わいせつな
squad（名詞）,一団、チーム、特殊部隊、特捜班
pickup（名詞）,（貨物などの）積み込み、（荷物の）集配、（セックスが目的の）一夜だけの女性
pickup（形容詞）,間に合わせの（限定用法）
recapture（他動詞）,…を再逮捕する、…を再び捕らえる、…を取り戻す、…を思い出す
recapture（名詞）,回復、再逮捕
rectify（他動詞）,…を修正［訂正］する、…を調整する
warranty（名詞）,（品質の）保証（書）
thermostat（名詞）,サーモスタット、温度自動調節器
redeem（他動詞）,…の名誉を挽回する、（欠点など）を補う、（人の罪）を償う、（商品券などを商品など）と引き換える
armful（名詞）,腕いっぱいの量、一抱え
blooming（形容詞）,花の咲いた、若々しく美しい、盛りの、（英）ひどい
pensioner（名詞）,年金受給者［生活者］
reenter（他動詞）,…に入り直す、…を再記入する
biotechnology（名詞）,生命［生物］工学、バイオテクノロジー
reestablish（他動詞）,…を再建する、…を回復する
prewar（形容詞）,戦前の（限定用法が多い）
parish（名詞）,教区、行政区
renounce（他動詞）,…を断念する、…を放棄する、…と関係を断つ
exertion（名詞）,（権力などの）行使、努力、骨折り、激しい活動
justifiable（形容詞）,正当と認められる、弁護できる
lighthearted（形容詞）,愉快な、のんきな、気楽な
jest（名詞）,冗談、しゃれ、冷やかし
jest（自動詞）,からかう
jest（他動詞）,…をからかう
repress（他動詞）,…をこらえる、…を抑制する
retrieve（他動詞）,…を検索する、…を取り戻す、…を回復する、（猟犬が獲物）を捜して取ってくる
retrieve（名詞）,回収、回復
inventory（名詞）,在庫（以上は［米］）、目録、在庫品一覧、棚卸し表
woodwork（名詞）,木工品、木工技術
admittedly（副詞）,確かに、認めざるを得ないことだが
rig（他動詞）,…を不正に操作する、（船など）に取り付ける、…を装備する
rig（名詞）,掘削装置、（船の）帆装
anarchy（名詞）,無政府状態、政治的［社会的］混乱
breeder（名詞）,畜産家、ブリーダー、増殖炉
segregate（他動詞）,（病人・感染者など）を隔離する、…を分離する、…を（人種）差別する
segregate（自動詞）,分離する
rascal（名詞）,悪がき、いたずら者、わんぱく小僧、悪漢
shoplift（自動詞）,万引する
shoplift（他動詞）,…を万引する
shun（他動詞）,…を避ける
unavailable（形容詞）,人に会えない、入手できない、利用できない、（人が）手がふさがっている
sift（自動詞）,詳しく調べる、精査する、吟味する、ふるいにかける
sift（他動詞）,…を詳しく調べる、…を精査する、…を吟味する、…をふるいにかける
sampling（名詞）,標本、標本抽出、サンプリング、試食
parasite（名詞）,寄生生物、寄生虫、ヤドリギ
inexplicable（形容詞）,説明がつかない、不可解な
smelt（他動詞）,（鉱石）を溶解する
solicit（他動詞）,…を嘆願する、…を懇願する、…を誘う、…をそそのかす
solicit（自動詞）,懇願する
transfusion（名詞）,輸血（blood transfusion）、注入
distracted（形容詞）,取り乱した、気を散らされた
stifle（他動詞）,…を窒息させる、（笑い・あくびなど）を抑える、（反乱など）を鎮圧する
sickly（形容詞）,病気がちの、病弱な
sickly（副詞）,病的に
subscribe（自動詞）,（新聞・雑誌などを）予約購読する
jigsaw（名詞）,ジグソーパズル（jigsaw puzzle）、糸のこ
lovable（形容詞）,愛らしい、かわいい、愛すべき
penguin（名詞）,ペンギン
adversity（名詞）,逆境、不運、不幸な出来事
swap（他動詞）,…を交換する
swap（名詞）,交換
banjo（名詞）,バンジョー
synthesize（他動詞）,…を合成する、…を総合的に扱う
vaccine（名詞）,ワクチン
immunity（名詞）,免疫、免除、免責
terminate（他動詞）,…を終わらせる、…を終結させる、（契約）を解除する
terminate（自動詞）,終わる、終結する
uninterrupted（形容詞）,途切れない、連続する
siege（名詞）,包囲攻撃
linguist（名詞）,言語学者、数カ国語に通じた人
transcribe（他動詞）,…を書き換える、（録音など）を文字に起こす、（曲）を（他の楽器で演奏するように）編曲する
dogma（名詞）,教義、教理、定説、独断
fingertip（名詞）,指先、指サック
pane（名詞）,窓ガラス、窓枠、羽目板
trickle（自動詞）,したたり落ちる、漏れる
trickle（名詞）,しずく、少量
unleash（他動詞）,…を解き放つ、（抑えていたもの）を爆発させる、…の革ひもを解く
egoistic（形容詞）,利己的な
barbarism（名詞）,野蛮、未開（な状態）、野蛮な行為
unpack（他動詞）,（包み・容器など）を開ける、…の中身を出す、…を分析する
bin（名詞）,ふた付きの容器、（ワインなどの）貯蔵所
mayonnaise（名詞）,マヨネーズ
verify（他動詞）,…を確かめる、…を実証する、…を照合する
copyright（名詞）,著作権、版権
copyright（形容詞）,版権で保護された
linguistics（名詞）,言語学（単数扱い）
programmer（名詞）,プログラマー
browse（自動詞）,目を通す、拾い読みする、（インターネットで）閲覧する
browse（他動詞）,…に（ざっと）目を通す、…を拾い読みする、（ウェブサイトなど）を閲覧する
specification（名詞）,設計明細書、仕様書（以上は通常 specifications で）、明細事項
knockout（名詞）,すごい美人、素晴らしいもの、たたきのめすこと、（ボクシングで）ノックアウト
knockout（形容詞）,猛烈な、魅惑的な、（打撃などが）決定的な（限定用法）
captivate（他動詞）,…の心を奪う、…を魅了する、…を夢中にする
playwright（名詞）,劇作家
crave（他動詞）,…を切望する、…を要求する
crave（自動詞）,切望する
renown（名詞）,名声、有名、高名
cynical（形容詞）,皮肉っぽい、冷笑的な、疑う、認めない、ひねくれた
denote（他動詞）,…を意味する、…を示す、…という名称である
gratification（名詞）,満足、大喜び、満足を与えるもの
epic（形容詞）,壮大な、叙事詩の
epic（名詞）,叙事詩、長編英雄小説
evoke（他動詞）,（感情・記憶など）を呼び起こす、…を呼びさます、…を喚起させる、…を誘い出す
reminiscence（名詞）,思い出、記憶、（通常 reminiscences で）思い出話
sage（名詞）,賢者
sage（形容詞）,賢い、厳粛な
antiquity（名詞）,大昔、古代、（通常 antiquities で）古代の遺物
foretell（他動詞）,…を予言する、…を予告する
hospice（名詞）,ホスピス、宿泊所
harass（他動詞）,…を（繰り返し）悩ます、…を絶えず困らせる、…を苦しめる
hygiene（名詞）,衛生（状態）、健康法、衛生学
infer（他動詞）,…と推論する、…と結論する
speck（名詞）,しみ、少量
butler（名詞）,執事
cult（名詞）,カルト教団、狂信的教団、崇拝
cult（形容詞）,（特定の人々の間で）人気のある、カルトの（限定用法）
infuse（他動詞）,…に（考えなどを）吹き込む、…を注ぎ込む、…を煎じる
conformity（名詞）,服従、順応、画一、類似
alpine（形容詞）,高山（性）の、非常に高い、（Alpine で）アルプスの（限定用法）
alpine（名詞）,高山植物（alpine plant）
intrigue（他動詞）,…の好奇心［興味］をそそる
intrigue（自動詞）,計略で達成する、陰謀を企てる
botanist（名詞）,植物学者
archbishop（名詞）,（しばしば Archbishop で）大司教
ponder（他動詞）,…について（じっくり）考え込む、熟考する
ponder（自動詞）,考え込む
discord（名詞）,不和、不一致
discord（自動詞）,不和である、一致しない
childless（形容詞）,子供のない
rediscover（他動詞）,…を再発見する
lengthy（形容詞）,長くて退屈な、非常に長い
marital（形容詞）,結婚の、結婚した、夫婦の
surmise（他動詞）,…を推測する、…を推量する
surmise（名詞）,推測、推量
runaway（名詞）,逃亡者、家出人
runaway（形容詞）,逃亡した、楽勝の、（状況などが）手に負えない
boarding（名詞）,乗船、乗車、板張り、寄宿
enlargement（名詞）,拡大、増大、写真の引き伸ばし、引き伸ばした写真
unsettle（他動詞）,…を不安にする、…を不安定にする、…の調子を悪くする
placid（形容詞）,静かな、穏やかな、落ち着いた、自己満足した
commune（名詞）,生活共同体、コミューン
dreamer（名詞）,夢想家、夢を見る人
visualize（他動詞）,…を思い浮かべる、…を心に描く、…を目に見えるようにする、…を視覚化する
utopia（名詞）,理想郷、ユートピア
flea（名詞）,ノミ、くだらないやつ
grasshopper（名詞）,キリギリス・バッタ・イナゴなどの総称、グラスホッパー（カクテルの一種）
lioness（名詞）,ライオンの雌
mare（名詞）,雌馬、母馬、雌ロバ
reindeer（名詞）,トナカイ
acceleration（名詞）,促進、加速（度）、加速力
casting（名詞）,投げること、鋳造、配役、キャスト
distortion（名詞）,ゆがめること、ゆがみ、ねじれ、（事実の）歪曲
elasticity（名詞）,弾力性、伸縮性、融通性、順応性
momentum（名詞）,はずみ、勢い、運動量
mountaineering（名詞）,登山
takeoff（名詞）,（飛行機の）離陸、出発、踏み切り、除去、物まね、風刺画
transit（名詞）,通過、通行、運送、運輸、移り変わり
allergy（名詞）,アレルギー、異常敏感症、反感、嫌悪
childbirth（名詞）,出産、分娩
colon（名詞）,①結腸 ②コロン（句読点の一つ［：］）
germ（名詞）,細菌（以上は通常 germs で）、胚、（the germ で）芽生え
heredity（名詞）,遺伝（形質）、遺伝傾向、性格、世襲
intestine（名詞）,（通常 intestines で；単数扱い）腸
longevity（名詞）,長生き、寿命、生存期間、（勤務の）長期在任
nudity（名詞）,裸、赤裸々、むき出し（の状態）
receptor（名詞）,受容器官、感覚器官、受容体、受信機、（コンピューターの）レセプター
recurrence（名詞）,再発、再現、反復、繰り返し、回帰
stimulant（名詞）,興奮剤、覚せい剤、興奮させるもの、動機
stimulant（形容詞）,刺激性の、励ます
syndrome（名詞）,症候群、シンドローム、（一群の）関連のあるもの、行動様式
abstraction（名詞）,抽象概念、抽象化、放心（状態）、抽象主義（の作品）
alienation（名詞）,疎んじること、疎外（感）、仲たがい、譲渡
apathy（名詞）,冷淡、無関心、無感動
compulsion（名詞）,衝動強迫、無理強い、強制、強制すること
conjecture（名詞）,推測、憶測
conjecture（他動詞）,…を推測する
conjecture（自動詞）,推測する
consolation（名詞）,慰めること、慰め、安らぎ、（形容詞的に）敗者復活の
cowardice（名詞）,臆病、小心
daze（名詞）,（a daze で）ぼうっとした状態、ぼうぜん、当惑
daze（他動詞）,（人）をぼうっとさせる
distaste（名詞）,（時に a distaste で）嫌悪、嫌気、嫌うこと
inference（名詞）,推論、推測、推理、（推論による）結論
mistrust（名詞）,（時に a mistrust で）不信、疑惑
mistrust（他動詞）,…を信用しない、…を疑う
objectivity（名詞）,客観性、客観的であること、客観主義
obsession（名詞）,執念、強迫観念、妄想、頭にこびり付いて離れないもの
repentance（名詞）,良心の呵責、後悔、悔い改め
retrospect（名詞）,回想、追想、追憶、思い出
tact（名詞）,如才なさ、臨機応変の才、機転、こつ、感触
tumult（名詞）,大騒ぎ、騒動、混乱、心の乱れ、興奮
willingness（名詞）,（時に a willingness で）意欲、乗り気であること
woe（名詞）,悲哀、苦悩、悲痛、（通常 woes で）苦痛［悩み］の種
yearning（名詞）,切ない思い、あこがれ、切望
yearning（形容詞）,あこがれの、切望している
anecdote（名詞）,逸話、秘話
aptitude（名詞）,（時に an aptitude で）才能、適性、素質、傾向
collaboration（名詞）,合作、協同、協力、コラボレーション、共同作品
elaboration（名詞）,入念に作り上げること、推敲、精巧、労作
excerpt（名詞）,（本文からの）抜粋、引用、抄録
excerpt（他動詞）,…を抜粋する
footnote（名詞）,脚注、尾ひれ、補足説明
footnote（他動詞）,…に脚注を付ける
italic（名詞）,（通常 italics で）イタリック体、斜字体
italic（形容詞）,イタリック体の、斜字体の
motif（名詞）,主題、モチーフ、テーマ、（デザインなどの）基調、動機
photocopy（名詞）,写真複写（物）
photocopy（他動詞）,…を写真複写する
photocopy（自動詞）,写真複写する
punctuation（名詞）,句読点、句読法、中断
sequel（名詞）,続編、後編、結果、帰結
sonata（名詞）,ソナタ、奏鳴曲
beta（名詞）,ベータ、予備段階、2番目（のもの）、（Beta で）ベータ星
canon（名詞）,①規範、原則、（教会の）戒律、公認正典 ②大聖堂参事会員
carol（名詞）,聖歌、賛美歌、（鳥の）さえずり
carol（自動詞）,聖歌を歌って回る
coherence（名詞）,首尾一貫性、一致、理路整然性、結合、密着
discourse（名詞）,会話、講演、論文、論説、話法
discourse（自動詞）,話をする、講演する
ethic（名詞）,倫理、道徳、価値体系
ethic（形容詞）,倫理の、道徳的な
flair（名詞）,（天賦の）才能、こつ、勘、鋭い眼識、スマートさ
illiteracy（名詞）,読み書きができないこと、非識字、無学、書き［言い］間違い
ingenuity（名詞）,発明の才、工夫、巧妙さ、精巧にできたもの
laser（名詞）,レーザー（光線）、レーザー装置
maxim（名詞）,格言、金言、処世訓、行動原理
mechanics（名詞）,力学、機械学、システム、構造、方法
mythology（名詞）,神話（学）、神話集
participle（名詞）,分詞
piety（名詞）,信心深さ、敬愛、献身、忠誠
predicate（名詞）,述語、述部
predicate（他動詞）,…に基礎を置く、…を含意［暗示］する、…と断言する
providence（名詞）,神意、（神の）摂理、（Providence で）神
salvation（名詞）,（魂の）救い、救済、救出、保護
skepticism（名詞）,懐疑的な態度、懐疑論、無神論
spectrum（名詞）,スペクトル、（活動などの）領域、範囲、連続体
syllabus（名詞）,（講義などの）概要、要旨、教授細目、判例の要旨
synonym（名詞）,同義語、類義語、同じ概念を表すもの
wording（名詞）,（a [the] wording で）言い回し、表現、言葉遣い
cedar（名詞）,ヒマラヤスギ、シーダー
coastline（名詞）,（海から見た）海岸線
crescent（名詞）,三日月、新月、三日月形の物、（しばしば Crescent で）（旧トルコ帝国の）新月旗
ebb（名詞）,引き潮、衰退、減退
ebb（自動詞）,（潮が）引く、衰退する
eclipse（名詞）,（太陽・月の）食、光の消滅、（名声などの）失墜
eclipse（他動詞）,…に影を投げる
gust（名詞）,一陣の風、突風、噴出、（感情の）激発
gust（自動詞）,（風が）急に吹く
haze（名詞）,もや、かすみ、（a haze で）（精神が）もうろうとした状態
haze（自動詞）,かすむ、ぼんやりする
holly（名詞）,モチノキ、ヒイラギ、（赤い実の付いた）モチノキの枝葉（クリスマスの飾り用）
irrigation（名詞）,かんがい、注水、注流、洗浄（法）
peat（名詞）,泥炭、ピート、泥炭塊
plume（名詞）,（通常 plumes で）羽毛、大羽、羽飾り
plume（他動詞）,（鳥が）（羽毛）を整える
puddle（名詞）,（汚れた）水たまり
puddle（自動詞）,水たまりを作る、水たまりのようになる
sap（名詞）,樹液、お人よし、元気
sap（他動詞）,（活力など）を徐々に奪う、…から（体力などを）奪う
silicon（名詞）,シリコン、ケイ素（非金属元素）
splinter（名詞）,とげ、添え木、破片
splinter（他動詞）,…をばらばらにする
splinter（自動詞）,破片になる
absurdity（名詞）,不合理、不条理、ばからしさ
actuality（名詞）,現実（性）、実在、（実際の事件の）記録映画、（actualities で）現状
admittance（名詞）,入場（許可）、アドミタンス（電気の流れやすさを示す量）
affirmation（名詞）,確約、断言、肯定、（判決などの）容疑
apprenticeship（名詞）,見習い（期間）、徒弟の身分
bondage（名詞）,緊縛、束縛、奴隷の境遇［状態］
camouflage（名詞）,偽装、変装、迷彩（服）
camouflage（他動詞）,…をカモフラージュする
camouflage（自動詞）,カモフラージュする
cleanliness（名詞）,潔癖、清潔、きれいなこと、きれい好き
conditioning（名詞）,条件付け、（空気の）調節、空調、（動物の）調教
contour（名詞）,輪郭、等高線、概略
contour（形容詞）,輪郭を示す
contour（他動詞）,…の輪郭を描く
credibility（名詞）,信頼性、威信、確実性
designation（名詞）,指定、指示、指名、称号、名称
detection（名詞）,発見、探知、発覚、露見
disclosure（名詞）,発覚、暴露、公表、発覚したこと、打ち明け話
evacuation（名詞）,避難、疎開、撤退、空にすること
feat（名詞）,離れ業、功績、偉業、妙技
flashing（名詞）,閃光、雨押さえ、水切り、（下水掃除の）放水
heroism（名詞）,英雄的資質［行為］、勇敢さ、勇気
homosexuality（名詞）,同性愛、ホモ
honk（名詞）,警笛の音、ガンの鳴き声
honk（自動詞）,（警笛が）鳴る、（ガンが）鳴く
honk（他動詞）,（警笛）を鳴らす
misbehavior（名詞）,不作法、非行、不正行為、不品行
ordeal（名詞）,厳しい試練、苦しい体験、難儀、神判
pollutant（名詞）,汚染物質
preview（名詞）,下見、下調べ、試写（会）、（映画・テレビの）予告編
preview（他動詞）,…の試写を見る［見せる］
redemption（名詞）,償い、贖罪、救い、救出、解放
reminder（名詞）,（思い出させるための）注意、合図、暗示、督促状
reunion（名詞）,同窓会、再会、再結合
reversal（名詞）,逆転、反転、転倒、挫折、（判決の）取り消し
setback（名詞）,妨げ、逆行、後退、ぶり返し、失敗、挫折
silhouette（名詞）,シルエット、影絵、輪郭
silhouette（他動詞）,…をシルエットで描く、…の輪郭を見せる
simulation（名詞）,模擬実験、シミュレーション、ふりをすること、まねること
spontaneity（名詞）,自然さ、自発性
temperance（名詞）,節制、禁酒、節度、自制
wiring（名詞）,（電気）配線（工事）、針金（接合）
wiring（形容詞）,配線の
allocation（名詞）,割り当て、分配、配置、割当額［量］
boon（名詞）,恩恵、利益
boon（形容詞）,愉快な
clearance（名詞）,取り除くこと、撤去、在庫一掃、清算、整理
computing（名詞）,コンピューター利用
contention（名詞）,主張、論争、争い、口論、闘争
curfew（名詞）,（戒厳令下の）夜間外出禁止令、消灯令、門限
deduction（名詞）,差し引き（高）、控除（額）、推論、演繹（法）
deposition（名詞）,免職、宣誓証言［証書］、堆積（物）、沈殿（物）
dissent（名詞）,意見の相違、異議、反対意見
dissent（自動詞）,異議を唱える、承知しない
downfall（名詞）,失墜、転落、落下、（大量の）降雨、仕掛けわな
endorsement（名詞）,支持、裏書、保証、承認、是認
flaw（名詞）,欠陥、欠点、ひび、傷
flaw（他動詞）,…を駄目にする
flaw（自動詞）,傷物になる
fusion（名詞）,溶解、融合、混合、核融合、（音楽の）フュージョン
fusion（形容詞）,折衷の
gentry（名詞）,紳士階級、貴族、連中
imperialism（名詞）,帝国主義、帝政、領土拡張主義
inconsistency（名詞）,矛盾、不一致、不調和
individualism（名詞）,個人主義、利己主義、個性、独自性
inefficiency（名詞）,非能率（なもの）、無能（者）、無効果
infrastructure（名詞）,基盤、基幹施設、下部構造、インフラ
legitimacy（名詞）,合法（性）、適法、正当（性）、嫡出、正系
liberalism（名詞）,自由主義、寛大さ、（通常 Liberalism で）自由党の政策
lordship（名詞）,君主［貴族］の地位、支配、統治権、（his Lordship などで）閣下
maneuver（名詞）,作戦行動、大演習、術策
maneuver（他動詞）,…に作戦行動を取らせる
maneuver（自動詞）,作戦行動を取る
manipulation（名詞）,上手な扱い、巧みな操作、市場操作、ごまかし
matrix（名詞）,行列、配列、マトリックス、母体、基盤
Messrs.（名詞）,Mr. の複数形（主に人名の入った社名に用いる）
milestone（名詞）,マイル標石、（人生・歴史の）画期的な出来事、（進行の）重要段階
morale（名詞）,士気、元気、意気込み、風紀
neutrality（名詞）,中立（状態）、中立政策、中性
precedent（名詞）,前例、慣例、判例法
protocol（名詞）,外交儀礼、条約議定書、条約原案、プロトコル（コンピューターの通信接続手順）
racism（名詞）,人種差別（主義）、人種的偏見、民族主義政策
refund（名詞）,払い戻し（金）、弁償、返済（金）
refund（他動詞）,…を払い戻す、返済する
repression（名詞）,制止、抑制、抑圧、鎮圧、（抑圧された）感情
repute（名詞）,世評、評判、好評、名声
retention（名詞）,保有、保存、保持、記憶（力）
seizure（名詞）,差し押さえ、押収（物）、つかむ［捕まえる］こと、発作、急病
shipbuilding（名詞）,造船（業）、造船術
spinning（名詞）,紡績、回転すること、投げ釣り
subgroup（名詞）,下位集団、下位［従属］群、亜族
tactics（名詞）,作戦、方策、戦略、戦法、駆け引き
torrent（名詞）,急流、激発、連発、（通常 torrents で）土砂降り
trump（名詞）,（トランプの）切り札（trump card）、奥の手、最後の手段
turf（名詞）,（やくざなどの）縄張り、芝生、泥炭、（the turf で）競馬
uranium（名詞）,ウラン（放射性の金属元素）
valuation（名詞）,評価（額）、査定（額）、見積もり、価値判断
bran（名詞）,ふすま、ぬか、もみ殻
champagne（名詞）,シャンパン（フランスのシャンパーニュ地方原産の発泡酒）
coke（名詞）,①（Coke で；商標）コカコーラ ②コカイン（cocaine）
cuisine（名詞）,（時に a cuisine で）（独自の）料理法、料理
gravy（名詞）,グレービーソース、肉汁、楽して得た金、あぶく銭
lime（名詞）,①ライム（ミカン科の植物）、ライムの実、ライムの飲み物 ②石灰
nutrient（名詞）,（通常 nutrients で）栄養物、栄養素、栄養剤
nutrient（形容詞）,栄養を含む、滋養になる
sherbet（名詞）,（米）シャーベット（果汁で作る氷菓）、（英）シャーベット水（果汁で作る清涼飲料）
soybean（名詞）,大豆
starch（名詞）,でんぷん、洗濯用のり、堅苦しさ
starch（他動詞）,…にのりを付ける
yeast（名詞）,イースト、パン酵母（菌）、（特にビールの）泡、きっかけ
adequacy（名詞）,適切さ、妥当性、適性、十分であること
adherence（名詞）,密着、忠実、固執、信奉、支持
congestion（名詞）,密集、（交通などの）混雑、充満、充血、詰まること
digit（名詞）,アラビア数字、けた、（人・動物の）指、指幅
enrichment（名詞）,豊かにする［される］こと、濃縮、強化物
highness（名詞）,高いこと、（Highness で）殿下
imperfection（名詞）,不完全、不十分、欠点、欠陥
interim（名詞）,合間、しばらくの間、仮協定［決定］
interim（形容詞）,仮の、中間の（限定用法）
intolerance（名詞）,不寛容、（食物・薬などの）不耐性、アレルギー
intricacy（名詞）,複雑さ、込み入っていること［事情］、入り組んだもの
irrelevance（名詞）,不適切、的外れ、筋違い、意味［重要性］のないもの
jackpot（名詞）,特賞、大成功、（ポーカーの）積立賭け金、積立賞金
jackpot（形容詞）,大当たりの
monotony（名詞）,単調さ、変化のなさ、退屈
norm（名詞）,標準、模範、基準、典型、平均、ノルマ
oblivion（名詞）,忘れられている状態、忘却、無意識、人事不省、恩赦
pinnacle（名詞）,絶頂、頂点、（教会などの）小尖塔、尖峰
preoccupation（名詞）,没頭、夢中（にさせるもの）、先取り、優先事
radius（名詞）,半径（の長さ）、放射状のもの、（行動などの）範囲、圏
redundancy（名詞）,過剰、余剰（の人員）、余剰人員の解雇、余分（なもの）
residue（名詞）,残り、残留分、残された物
severity（名詞）,厳格、簡素、激烈、激しさ、重大性
subtlety（名詞）,巧妙さ、希薄（であること）、繊細さ、微妙、鋭い考え
trillion（名詞）,1兆、何兆億、無数
watt（名詞）,ワット（電力の単位）
crest（名詞）,山頂、頂上（以上は the crest で）、尾根、（鳥の）とさか、（馬などの）たてがみ
curb（名詞）,歩道の縁（石）、抑制、制限
curb（他動詞）,…を抑制する
fore（名詞）,（the fore で）前面、前部
fore（形容詞）,前に位置している、前方の（限定用法）
foreground（名詞）,（the foreground で）最前面、最も目立つ位置、前景
haven（名詞）,港、避難所、安息の地
haven（他動詞）,…を停泊［避難］させる
kiosk（名詞）,キオスク、売店
ledge（名詞）,水平の出っ張り、壁に取り付けた棚、岩層、岩棚、鉱脈
midweek（名詞）,週の中ごろ
midweek（形容詞）,週の中ごろの
midweek（副詞）,週の中ごろに
nucleus（名詞）,中心部分、核心（以上は通常 the nucleus で）、原子核
observatory（名詞）,天文台、観測所、気象台、展望台
plateau（名詞）,高原、台地（以上はしばしば plateaus で）、停滞状態
ramp（名詞）,斜面、（高速道路の）ランプ、タラップ、（空港の）エプロン
rink（名詞）,アイススケート場、ローラースケート場
sanctuary（名詞）,鳥獣保護区、（罪人などの）保護、聖域、教会、避難所
stairway（名詞）,階段
suite（名詞）,一そろい、一続きの部屋、特別室、1組の家具、組曲
verge（名詞）,縁、境界、端、瀬戸際
verge（自動詞）,（verge on … で）…に近い、ほとんど等しい
authoritarian（名詞）,権威主義者、独裁主義者
authoritarian（形容詞）,独裁政治の、権威主義的な、ワンマンの
bitch（名詞）,嫌な女、あばずれ、雌犬、（オオカミなどの）雌、不快なもの
bowler（名詞）,ボウリングをする人、クリケットの投手
communicator（名詞）,伝える人、伝達者、通報器
cultivator（名詞）,耕作者、耕運機、養成者、向上させるもの
devotee（名詞）,心酔者、愛好者、献身する人、敬虔な信者
egoist（名詞）,自分本位の人、利己的な人、利己主義者
empress（名詞）,（通常 the Empress で）女帝、皇后
hippie（名詞）,ヒッピー
humanist（名詞）,人道主義者、人文主義者、古典研究者
idealist（名詞）,理想主義者、空想家、観念主義者［論者］
interviewee（名詞）,面接を受ける人、インタビューされる人
janitor（名詞）,用務員、管理人、門番
layman（名詞）,素人、門外漢、専門でない人、（聖職者に対して）平信徒
miser（名詞）,守銭奴、欲張り
negotiator（名詞）,交渉者、協議者、（手形などの）譲渡者
posterity（名詞）,（集合的に）後世、後代（の人々）、子孫
snob（名詞）,俗物、お高く止まった人、学識［知識］を鼻に掛ける人
spokesperson（名詞）,スポークスマン、代弁者、代表者
subscriber（名詞）,（予約）購読者、加入者、会員、寄付する人、著名［記名］人
adornment（名詞）,装飾（品）、飾り立てること
barometer（名詞）,気圧計、晴雨計、（動向を示す）指標、バロメーター
binder（名詞）,バインダー、（新聞などの）帯封、縛る道具［人］、製本屋、接合材
duplicate（名詞）,複製、複写、類義語
duplicate（他動詞）,…を複製する、…の写し［コピー］を作る
harness（名詞）,（集合的に）馬車馬の引き具（一式）、引き具に似たもの
harness（他動詞）,…を利用する
hoe（名詞）,（西洋）くわ
hoe（他動詞）,…をくわで掘る［耕す］
hoe（自動詞）,くわを使う
jack（名詞）,ジャッキ、起重機、（トランプの）ジャック
jack（他動詞）,…をジャッキで上げる
latch（名詞）,（ドア・門などの）掛け金、かんぬき
latch（他動詞）,…に掛け金を掛ける
modem（名詞）,（コンピューターの）モデム、変復調装置（電話回線を通じてインターネットに接続する）
mosaic（名詞）,寄せ木細工、モザイク（模様）、寄せ集め
obstruction（名詞）,障害物、妨害（物）、妨げ、反対、（スポーツの）オブストラクション
oddity（名詞）,異常なもの［事、行為］、風変わりな人、奇異な出来事
pedestal（名詞）,（円柱・彫像などの）台座、（花瓶などを載せる）台
placard（名詞）,張り紙、掲示、ポスター、ビラ、名札
plaque（名詞）,飾り額［板］、バッジ、記章、斑点、歯垢
propeller（名詞）,（飛行機の）プロペラ、（船の）スクリュー、推進器
rectangle（名詞）,長方形
remnant（名詞）,残部、残り、残存者（以上は remnants で）、断片、名残、遺物
replica（名詞）,レプリカ、写し、複製、模写
shoelace（名詞）,靴ひも
signpost（名詞）,道標、案内標識、手掛かり、指針
slab（名詞）,（石・木・金属などの）広い厚板、（パン・肉などの）厚切り
spiral（名詞）,らせん状のもの、ぜんまい
spiral（自動詞）,らせんを描いて上がる［下がる］
spiral（形容詞）,らせん形の（限定用法が多い）
spreadsheet（名詞）,集計表、スプレッドシート、簿記用紙
thong（名詞）,革ひも、ひも式のビキニ［下着］、（thongs で）サンダル
transmitter（名詞）,送信機、（電話の）送話器、伝達者、伝達装置
yoke（名詞）,くびき、てんびん棒、（the yoke で）束縛、服従
yoke（他動詞）,（牛など）にくびきをかける
adjacent（形容詞）,近くの、隣接した、近隣の、直前の
akin（形容詞）,同種の、同族の、血族の、類似した（叙述用法）
analogous（形容詞）,似ている、類似した、相似の（叙述用法が多い）
contradictory（形容詞）,矛盾する、正反対の、（人が）議論好きな
differential（形容詞）,区別を示す、差別的な、格差のある、微分の
differential（名詞）,差異、差額、微分
downstream（形容詞）,流れに沿った、流れを下った、下流の
downstream（副詞）,流れに沿って、下流に
frontal（形容詞）,正面［前面］の、（気象で）前線の（限定用法）
incidental（形容詞）,偶然の、付随して起こる、ありがちな
incompatible（形容詞）,互換性のない、気が合わない、両立しない、相容れない
maternal（形容詞）,母の、母らしい、母としての、母方の（限定用法が多い）
median（形容詞）,中央の、中間の、二等分する面の、左右対称に分ける面の（限定用法）
northeastern（形容詞）,北東の、北東への、北東部の、（風が）北東からの
predominant（形容詞）,支配的な、有力な、主な、顕著な
reciprocal（形容詞）,お返しの、代償の、相互関係を表す、対等の（限定用法が多い）
separable（形容詞）,分離［区分］できる
southeastern（形容詞）,南東の、南東への、南東部の、（風が）南東からの
southwestern（形容詞）,南西の、南西への、南西部の、（風が）南西からの
supplementary（形容詞）,補足の、追加の、付録の
supplementary（名詞）,補充となるもの
